Dann bitte auch die Todesstrafe für Zigarettenhersteller und etlichen weitere für die Menschheit schädlichen Industrien. Es gäbe dann auch einige Fernsehformate die mit der Todesstrafe belegt werden müssten. Auch bei Missbrauch von Informationen im Netz wäre das angebracht. Oh. Fasst vergessen, die Werbeindustrie... hmmm und Anwälte sowie Lobbyisten und vor allem Politiker die sich nur die Taschen füllen. Da kommt viel Arbeit auf die Justiz zu.	Then please also the death penalty for cigarette manufacturers and several other harmful to mankind industries. There would then also be some television formats that would require the death penalty. Even with misuse of information in the network that would be appropriate. Oh. Forget the advertising industry ... hmmm and lawyers as well as lobbyists and especially politicians who just fill their pockets. There's a lot of work on the justice.	negative
Sonne ist schädlich für die Haut. Fangen Sie früher an zu arbeiten, dann können Sie auch früher heim gehen. Bei uns ist es im Sommer häufiger mal 30++ C. Ich komme so gegen 16:30 Uhr nach Hause, meinen Sie etwa, da setzt man sich in die Sonne? Schatten ist angesagt. Toll wird es dann erst, wenn die Sonne untergegangen ist.	Sun is harmful to the skin. If you start working earlier, you can go home sooner. With us it is often 30 + C in the summer. I come home around 16:30 clock, you mean, because you sit down in the sun? Shadow is announced. It will be great only when the sun has set.	negative
Wieso sollte man keinen Handel mit China treiben? Geld sieht man nicht an, ob Blut dran klebt. Aber bei uns hängen viele Jobs vom Handel ab. Sanktionen sind immer schädlich und wir haben nun wirklich nicht das Recht, ein anderes Land wegen seiner frei gewählten Regierungsform zu verurteilen. Das wichtigste sind Gespräche. Dabei ist es wichtig mit Diktatoren, Königen, Präsidenten, Stammesführern offen zu reden. Es geht uns schlicht nichts an was in den einzelnen Ländern passiert. Deutschland ist keine Kolonialmacht mehr. Wir sollten auch den Teufel tun uns wieder so aufzuführen als währen wir die Herren der Welt. Aber genau das tut unsere Politik. Wir müssen endlich wieder normal auftreten. Vor allem wir haben keine Druckmittel wir sind mit unserer Bundeswehr ein sehr schwaches Land was sich nichtmal mehr selbstverteidigen kann. China kann eher uns vorschreiben, wie wir unsere Regierung zu bilden haben. Denkt mal darüber nach! Aber die Chinesen sind zu uns höflich und akzeptieren unser Leben. Kritik zu China kann man äußern, dass diese ihren Markt mehr öffnen und nicht alles kopieren.	Why should one not trade with China? Money does not look like blood is sticking to it. But with us many jobs depend on the trade. Sanctions are always harmful and we really do not have the right to condemn another country because of its freely chosen form of government. The most important are conversations. It is important to talk openly with dictators, kings, presidents and tribal leaders. We simply do not care what happens in each country. Germany is no longer a colonial power. We should also do the devil to behave as if we were the lords of the world. But that's exactly what our policy does. We finally have to return to normal. Above all, we have no leverage we are with our Bundeswehr a very weak country which can not even defend itself. China may rather dictate to us how we should form our government. Think about it! But the Chinese are polite to us and accept our lives. Criticism of China can be said that they open their market more and do not copy everything.	negative
Ich denke mal, das ahnt Trump schon, denn nun als Präsident der US-Nation, hat er einfach nicht so viel Zeit er will, und dennoch ist Trump so selten still, dass es einem gar schon davor graut, was er wohl anstellen will, wenn er auf Chinas Präsidenten schaut... Präsident auf Lebenszeit ist vielleicht sein nächstes Ziel, denn dieser Mann will nicht schon einfach nur sehr viel, sondern packt in seinem Narzismus noch so ne Schippe drauf, denn wenn er es will, soll man gefälligst ändern der Dinge Lauf. Das wäre wohl Trumps Art halt dafür zu sorgen, dass er am nächsten Morgen hat keine Sorgen, und dafür will er potenzielle Gegner schon heut unschädlich machen, um zu sorgen für ein ungefährdetes Erwachen...	I guess, Trump already suspects, because now as president of the US nation, he just does not have as much time he wants, and yet Trump is so rarely quiet that he dreads even what he wants to do, if he looks at China's president ... president for life is perhaps his next goal, because this man does not just want a lot, but packs in his narcissism on it, because if he wants it, you should change it kindly of things running. That would be Trump's way of ensuring that he has no worries the next morning, and he wants to neutralize potential opponents today to ensure a safe awakening ...	negative
grosses Talent, beliebtester Minister, Superministerusw. Diese Superlativen seien gerne erlaubt. Mir fallen zu Gabriel hingegen nur Flops, Arroganz, Unfähigkeit in allen Ämtern ausser als Pop Beauftragter der SPD und chaotische Politik ein. Sein Hobby als AA war es, sinn- und wirkungslos Millionen im Ausland ohne irgendeine Verwendingskontrolle zu verteilen, die dann in den Taschen von korrupten Politikern landeten. Dazu aktionistische Herumreiserei ohne irgendeinen Erfolg, Anbiederung an die Türkei. Ein Erfolg sei jedoch erwähnt: aus Jux und Dollerei holte er den Schrotthaufen Landshut nach Deutschland, wofür der Steuerzahler 2 Mio Euro für den Kauf (!) des Flugzeugwracks in Uganda ? und Transportkosten bezahlen durfte. Nein, kein Mitleid mit seinem Abgang, denn er war ein gänzlich unnützer bis schädlicher Narzist im Gewande eines Ministers.	great talent, most popular minister, super-minister These superlatives are welcome. On the other hand, to me, only flops, arrogance, incompetence in all offices except as a Pop representative of the SPD and chaotic politics, come to my mind. His hobby as AA was to disperse millions of people abroad without any use control, which then ended up in the pockets of corrupt politicians. In addition, actionist traveling around without any success, pandering to Turkey. A success was mentioned, however: out of jubilation and Dollerei he brought the junkyard Landshut to Germany, for which the taxpayer 2 million euros for the purchase (!) Of the aircraft wreck in Uganda? and allowed to pay transport costs. No, no pity for his departure, for he was a completely useless to harmful narcissist in the dress of a minister.	negative
der Meinungsäußerung für ein Recht über einen von Ihnen nicht geschätzten Politiker unflätig zu pöbeln und diesen beleidigen zu können. Das ist ein Irrtum, der durch den Wortlaut des Art. 5 (2) GG an sich sehr deutlich ausgeschlossen wird. Vermutlich würden Sie, wenn Sie jemand in der Weise beleidigen würde, wie Sie es getan haben, dagegen sogar juristisch vorgehen. Die von Ihnen gebrauchten Verbalinjurien entlarven Sie als das Gegenteil eines lupenreinen Demokraten. Eine Diskussion auf diesem Niveau ist nicht nur unwürdig, sie ist für unsere Demokratie schädlich.	to verbally abusive and to insult the expression of a right over a politician whom you do not esteem. This is a mistake that is very clearly excluded by the wording of Art. 5 (2) Basic Law. On the other hand, if you offended someone in the way you did, you would probably take legal action. The Verbalinjurien you use unmask as the opposite of a flawless Democrat. A discussion at this level is not only unworthy, it is harmful to our democracy.	negative
Grün? Lol, wettern gegen Northstream 2 aber haben bisher kein Wort darüber verloren dass die EU mit hunderten Millionen Instrastruktur z.Bsp. in Polen und anderen Ländern für Gasunternehmen subventioniert für die Abnahme von Fracking-Gas aus den USA. Dieses ist noch einiges umweltschädlicher als das normale Gas, bei dem was zur Gewinnung in den Boden gepumpt wird aber eben auch noch in die Atmosphäre entweicht, man spricht von bis zu 12% der Fördermenge an äusserst umweltschädlichen Gasen, hauptsächlich Methan, die beim Fracking in die Atmosphäre entweichen. Na ja, Umwelt egal, aber Hauptsache, wieder mal versucht den bösen, bösen Russen ans Bein zu pinkeln. Und das mit dem Grün sein bei der Grünen Partei kollidiert mit dem dort grassierenden Neoliberalismus. Da kann man auch grün aussehende Politiker an die Front schicken, nützt nichts.	Green? Lol, ranting against Northstream 2 but so far have not said a word about the EU's hundreds of millions of infrastructures. In Poland and other countries for gas companies subsidized for the purchase of fracking gas from the US. This is even more harmful to the environment than the normal gas, in which what is pumped into the ground for extraction but also escapes into the atmosphere, it is said that up to 12% of the flow of highly polluting gases, mainly methane, the fracking in escape the atmosphere. Well, the environment does not matter, but the main thing, again trying to pee the evil, evil Russians to the leg. And that with the green at the Green Party collides with the rampant neoliberalism. Since you can send green-looking politicians to the front, is no use.	negative
Macron will jetzt die Früchte der im Koalitionsvertrag von CDU/CSU und SPD vereinbarten Ziele einfahren. Dort wurde bereits im Vorfeld eine größere finanzielle Beteiligung Deutschlands am EU-Haushalt signalisiert. Auch die Verteidigungsministerin ist bereit für die Missionen in Mali und anderswo mehr Personal und Geld bereit zu stellen, auch wenn sie es gar nicht hat. Projekte zur Modernisierung Deutschlands (Digitalisierung, Infrastruktur, Bildung) müssen dann eben zurück stecken. Wie schädlich eine überlange Amtszeit einer Kanzlerin oder eines Präsidenten für ein Land sein kann, zeigen die Beispiele Putin und Merkel.	Macron now wants to reap the fruits of the goals agreed in the coalition agreement of CDU / CSU and SPD. There, a larger financial participation of Germany in the EU budget was already signaled in advance. The Secretary of Defense is also prepared to provide more staff and money for the missions in Mali and elsewhere, even if she does not have them. Projects for the modernization of Germany (digitization, infrastructure, education) have to go back then. Just how harmful an overlong term of office of a chancellor can be for a country is shown by the examples of Putin and Merkel.	negative
"Dieses Beharren auf ""jeder für sich ""und ""wir geben nichts"" ließe die bestehenden Chancen, die EU zukunftssicherer zu machen, nutzlos verstreichen. Wenn Macron einige seiner Ideen verwirklicht sehen möchte, wird er sich bei der überhöhten und entwicklungspolitisch schädlichen Agrarförderung bewegen müssen. Da sind bisher Frankreich und Polen die Hauptprofiteure. Hier könnte viel Geld für neue Aufgaben wie Sicherung der Aussengrenzen und Flüchtlinge locker gemacht werden. Rüttes Blockade wäre nur schädlich und würde auch nicht gegen die Rechtspopulisten in NL helfen, denn die Probleme lösen sich nicht ohne stärkeres gemeinschaftliches Handeln."	"This insistence on ""everyone for themselves"" and ""we give nothing"" would make useless the existing opportunities to make the EU more sustainable. If Macron wants to see some of his ideas realized, he will have to move in the excessive and developmentally harmful agricultural subsidies. So far, France and Poland are the main beneficiaries. Here, a lot of money for new tasks such as securing the external borders and refugees could be made easy. Rüttes blockade would only be harmful and would not help against the right-wing populists in NL, because the problems do not resolve without stronger community action."	negative
Mit 'ner schlecht gelaunten Regierung kann ich leben. Sollen sie Politik für die Bürger*innen machen, dann werden sich die Bürger*innen freuen und die Regierungslaune wird steigen :-). Mit Lindner in Regierung hätte ich ständig schlechte Laune. Das fände ich für mich schwer erträglich und gesundheitsschädlich, was bei diesem Gesundheitsminister nicht anzuraten. Er wird bestimmt den Kassen verbieten, die Therapie/Behandlung der durch die Regierung - und speziell ihn - verursachten Störungen in den Leistungskatalog aufzunehmen. Und für die Klientel der PKV'ler*innen wird er eine Politik machen, die keine Störungen bei diesen generiert! :-) Norbert Sinofzik, Rheinstadt Uerdingen	I can live with a bad tempered government. If they want to make policy for the citizens, then the citizens will be happy and the government mood will rise :-). With Lindner in government, I would always be in a bad mood. I find that hard to tolerate and harmful to health, which is not advisable with this Minister of Health. He will certainly prohibit the health insurance funds from incorporating the treatment / treatment of disorders caused by the government - and especially him - into the catalog of benefits. And for the clientele of PKV'ler * innen he will make a policy that generates no interference with these! :-) Norbert Sinofzik, Rheinstadt Uerdingen	negative
